City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Umm Lajj,80,SA,1554724800,45,25.024,37.2669,87.17,12.68
Karpathos,88,GR,1554724800,92,35.507,27.2132,64.44,18.05
Constitucion,0,MX,1554724800,63,23.9912,-104.675,38.3,2.73
Kautokeino,36,NO,1554724800,68,69.0125,23.0412,24.89,4.97
Punta Arenas,12,CL,1554724800,100,-53.1627,-70.9081,37.85,7.54
Jalu,0,LY,1554724800,33,29.0331,21.5482,79.88,18.84
Mataura,88,NZ,1554724800,71,-46.1928,168.8643,51.26,3.18
Hermanus,32,ZA,1554724800,65,-34.4176,19.2361,72.48,2.84
Azare,48,NG,1554724800,97,11.6729,10.1918,86.0,5.75
Bubaque,20,GW,1554724800,81,11.2833,-15.8334,86.63,5.19
Hailey,88,US,1554724800,95,43.5196,-114.3154,37.04,3.74
Dunedin,36,NZ,1554724800,87,-45.874,170.5035,49.86,2.73
Honningsvag,88,NO,1554724800,100,70.9821,25.9704,29.08,6.08
Busselton,0,AU,1554724800,91,-33.6445,115.3489,70.43,18.39
Marsa Matruh,0,EG,1554724800,32,31.3525,27.2453,83.03,2.73
Ushuaia,0,AR,1554724800,100,-54.807,-68.3074,28.35,2.51
Oktyabrskiy,92,RU,1554724800,71,55.6086,37.9744,48.02,16.49
Hilo,8,US,1554724800,98,19.7072,-155.0817,74.93,11.79
Severo-Kurilsk,32,RU,1554724800,94,50.6789,156.125,31.01,18.39
Cape Town,92,ZA,1554724800,90,-33.929,18.4174,69.17,5.19
Fortuna,76,ES,1554724800,53,38.1801,-1.126,67.64,6.87
Rikitea,0,PF,1554724800,100,-23.1203,-134.9692,76.28,2.39
Qaanaaq,88,GL,1554724800,88,77.484,-69.3633,22.37,4.63
Lavrentiya,24,RU,1554724800,87,65.5842,-170.989,13.1,31.59
Karakulino,0,RU,1554724800,97,56.0105,53.7052,42.17,3.4
Anloga,76,GH,1554724800,90,5.7947,0.8973,90.84,9.89
Luorong,80,CN,1554724800,82,24.405,109.6003,76.64,13.02
Buraydah,80,SA,1554724800,16,26.3317,43.9717,93.96,12.68
Ketchikan,92,US,1554724800,100,55.3422,-131.6462,43.18,12.8
Vaini,0,IN,1554724800,53,15.336,74.4926,92.14,5.86
Salgueiro,44,BR,1554724800,83,-8.0738,-39.1247,77.63,4.41
Albany,92,US,1554724800,96,42.6512,-73.755,51.26,7.87
Carnarvon,0,ZA,1554724800,43,-30.9678,22.1333,72.05,5.86
Kapaa,100,US,1554724800,100,22.0752,-159.319,69.75,8.66
Tuatapere,12,NZ,1554724800,97,-46.1324,167.6908,56.93,10.67
Barrow,0,AR,1554724800,75,-38.3131,-60.2291,60.17,6.42
Bom Jesus,80,BR,1554724800,87,-5.9888,-35.5822,83.93,9.55
Faanui,92,PF,1554724800,99,-16.4834,-151.75,84.83,14.03
Zhoucun,92,CN,1554724800,89,35.4751,112.62,53.51,5.41
Bonthe,24,SL,1554724800,57,7.5273,-12.502,92.3,4.74
Clyde River,36,CA,1554724800,78,70.4692,-68.5915,7.54,2.62
Nanortalik,36,GL,1554724800,87,60.1432,-45.2372,35.33,30.36
San Luis,0,AR,1554724800,54,-33.302,-66.337,59.09,11.68
San Policarpo,92,PH,1554724800,100,12.1791,125.5072,78.35,7.99
Puerto Ayora,64,EC,1554724800,100,-0.7394,-90.3518,77.63,4.97
Dakar,0,SN,1554724800,80,14.6934,-17.448,73.13,14.03
Nanzhou,0,TW,1554724800,100,22.4902,120.5098,78.19,3.4
